Perm,CUSIP,SIC,ISSUER_NAME,SHARES,PRICE,OFFER_SIZE,ISSUE_DATE,ANNOUNCEMENT_DATE,PERIOD
47992,08785110,8051,BEVERLY ENTERPRISES,1000000,9.875,9.875,1980-05-21,1980-03-18,64.0
47992,08785110,8051,BEVERLY ENTERPRISES,1500000,24.375,36.563,1981-06-01,1981-05-19,13.0
47992,08785110,8051,BEVERLY ENTERPRISES,1200000,36.5,43.8,1982-11-10,1982-10-25,16.0
47992,08785110,8051,BEVERLY ENTERPRISES,2000000,39.5,79.0,1983-06-21,1983-06-15,6.0
47992,08785110,8051,BEVERLY ENTERPRISES,3000000,34.75,104.25,1985-12-19,1985-12-17,2.0
68312,63862010,6798,BEVERLY INVEST PPTS,2000000,25.25,50.5,1986-08-21,1986-08-11,10.0
17903,08889110,5912,BIG B INC,800000,9.0,7.2,1981-10-20,1981-09-22,28.0
17911,69553710,5812,BIG BITE INC,600000,13.5,8.1,1983-02-08,1982-12-21,49.0
44409,08967110,2813,BIG THREE INDUSTRIES,900000,53.0,47.7,1975-08-14,,
44409,08967110,2813,BIG THREE INDUSTRIES,800000,72.25,57.8,1976-03-29,,
18060,09058510,3845,BIOCHEM INTL INC,400000,11.0,4.4,1981-03-05,1981-02-09,24.0
18092,09061310,3842,BIOMET INC,1500000,15.25,22.875,1986-07-30,1986-06-26,34.0
61508,09057210,2821,BIO-RAD LABORATORIES INC,400000,19.0,7.6,1986-08-21,1986-07-07,45.0
18121,09066010,3841,BIOSEARCH MEDICAL PRODS,1000000,2.25,2.25,1986-09-24,1986-07-09,77.0
18332,09173010,6331,BITCO CORP,500000,20.0,10.0,1983-06-30,,
20220,09179710,3546,BLACK & DECKER CORP,4500000,19.625,88.313,1983-08-02,1983-07-26,7.0
27087,09367610,5731,BLOCKBUSTER ENTERTAIN,360000,13.0,4.68,1986-09-11,1986-07-11,62.0
18570,09676110,5812,BOB EVANS FARMS INC,600000,26.0,15.6,1983-01-20,1983-01-06,14.0
18650,09769810,3533,BOLT TECHNOLOGY CORP,940000,15.0,14.1,1983-08-18,1983-07-01,48.0
66130,10218310,2611,BOWATER INC,2500000,35.25,88.125,1987-01-16,,
19589,11688110,5411,BRUNO'S INC,3400000,13.875,47.175,1985-06-11,1985-05-20,22.0
55597,11742110,3339,BRUSH WELLMAN INC,600000,41.625,24.975,1983-02-23,1983-01-25,29.0
65496,05560710,3679,BUCKBEE-MEARS CO,1000000,15.5,15.5,1982-10-28,1982-10-05,23.0
16651,07587310,3531,BUCYRUS-ERIE CO,1200000,37.0,44.4,1975-04-16,1975-03-21,26.0
75040,12232C10,6552,BURNHAM PACIFIC PPTS,1500000,18.25,27.375,1988-06-24,1988-05-25,30.0
19933,42032310,2731,BURTON-HAWKS INC,1300000,5.125,6.663,1981-03-10,1981-02-12,26.0
30031,12364510,4712,BUTLER INTERNATL INC,900000,19.5,17.55,1983-04-27,1983-04-22,5.0
49402,12769510,7011,CAESARS WORLD INC,500000,34.0,17.0,1979-01-16,,
49402,12769510,7011,CAESARS WORLD INC,3500000,10.875,38.063,1983-11-01,1983-09-27,35.0
64020,54928210,5812,CAFETERIAS INC,300000,22.5,6.75,1978-07-13,,
20678,80890510,8071,CALIFORNIA BIOTECHNOLOGY,2750000,18.0,49.5,1986-03-26,1986-02-07,47.0
20723,13044210,3663,CALIFORNIA MICROWAVE INC,400000,20.25,8.1,1981-01-19,,
20774,13123810,1311,CALLON PETROLEUM CO,900000,9.75,8.775,1983-10-04,1983-08-17,48.0
64880,13135210,1629,CALPROP CORP,750000,12.0,9.0,1986-07-10,1986-06-06,34.0
20918,13215810,2835,CAMBRIDGE BIOSCIENCE,1500000,12.0,18.0,1986-04-11,1986-03-24,18.0
61954,13342910,3462,CAMERON IRON WORKS INC,1350000,39.5,53.325,1980-07-08,1980-06-20,18.0
47220,14173410,3144,CARESSA INC,1100000,21.5,23.65,1983-05-05,1983-04-13,22.0
52003,14574410,5812,CARROLS CORP,1500000,9.75,14.625,1984-01-20,1983-10-04,108.0
